fold,linear_accuracy,rbf_accuracy
1,0.9340659340659341,0.945054945054945
2,0.967032967032967,0.978021978021978
3,0.967032967032967,0.967032967032967
4,0.978021978021978,0.967032967032967
5,0.978021978021978,0.989010989010989
